subgroup,value,count,macro_f1,high_risk_recall,undertriage_rate
age_group,pediatric,6595,0.9453605190621934,0.9877256317689531,0.0012130401819560274
age_group,middle_aged,27889,0.9438325755939546,0.9859227467811159,0.0012549750797805586
age_group,young_adult,23863,0.9402258302251454,0.9848763539750665,0.0010895528642668566
age_group,elderly,21653,0.9359838631647621,0.9853005704256252,0.0010622084699579734
arrival_mode,brought_by_family,5583,0.9436652516043063,0.9898562975486053,0.0012538061973849184
arrival_mode,transfer,7987,0.9418348853084495,0.9856697819314642,0.0016276449229998748
arrival_mode,helicopter,2405,0.9408857052526661,0.9833679833679834,0.0008316008316008316
arrival_mode,ambulance,22404,0.9406262329619249,0.9858399485089037,0.0009819675058025353
arrival_mode,walk-in,38459,0.9403851506683637,0.9847526961695797,0.0010660703606438025
arrival_mode,police,3162,0.9373239536801885,0.9879518072289156,0.002213788741302973
language,Other,3968,0.9454907509344952,0.9842041312272175,0.0010080645161290322
language,Arabic,3944,0.9427008215928743,0.9832935560859188,0.0017748478701825558
language,Somali,3170,0.9423734128853454,0.9791044776119403,0.0015772870662460567
language,Estonian,4858,0.9413667484657008,0.9849906191369606,0.001440922190201729
language,Finnish,44134,0.940905608781649,0.9859047202797203,0.001246204740109666
language,Swedish,6315,0.9400248172481896,0.9825673534072901,0.000791765637371338
language,English,8024,0.9381190585440942,0.9864306784660767,0.0006231306081754736
language,Russian,5587,0.937787650933077,0.9922077922077922,0.0007159477358152855
sex,F,40339,0.9420281405712222,0.9857634357575038,0.001189915466422073
sex,M,37735,0.9395131060908211,0.985327889767798,0.0011395256393268848
sex,Other,1926,0.9386316059954389,0.9873096446700508,0.0005192107995846313
site_id,SITE-TMP-01,15868,0.943036765449542,0.9857662023016354,0.001008318628686665
site_id,SITE-HEL-02,15912,0.9424289948096473,0.9838414634146342,0.001005530417295123
site_id,SITE-HEL-01,16161,0.9415392345774107,0.98903053661429,0.000866283027040406
site_id,SITE-TUR-01,16212,0.9388875978330985,0.9852088167053364,0.0013570194917345176
site_id,SITE-OUL-01,15847,0.9378952726124359,0.9840392879066913,0.0015144822363854357
